  Frames  Seconds        Occurrences                    PDF                    CDF                  1-CDF              1/CDF               1/(1-CDF)
    3310  55.1667     99501892938269  5.394008424504566e-06  1.753162439881908e-04  9.998300777644363e-01            5703.98                    1.00
    3311  55.1833    101852170681176  5.521417236244771e-06  1.808376612244355e-04  9.998246837560119e-01            5529.82                    1.00
    3312  55.2000    104239170701667  5.650816766641735e-06  1.864884779910773e-04  9.998191623387755e-01            5362.26                    1.00
    3313  55.2167    106663174525857  5.782222277256734e-06  1.922707002683340e-04  9.998135115220089e-01            5201.00                    1.00
    3314  55.2333    109124464939215  5.915649097920758e-06  1.981863493662548e-04  9.998077292997317e-01            5045.76                    1.00
    3315  55.2500    111623332570965  6.051112983675611e-06  2.042374623499304e-04  9.998018136506337e-01            4896.26                    1.00
    3316  55.2667    114160062325677  6.188629379228980e-06  2.104260917291594e-04  9.997957625376501e-01            4752.26                    1.00
    3317  55.2833    116734935699274  6.328213544505427e-06  2.167543052736648e-04  9.997895739082708e-01            4613.52                    1.00
    3318  55.3000    119348234442353  6.469880753235421e-06  2.232241860269002e-04  9.997832456947263e-01            4479.80                    1.00
    3319  55.3167    122000249594206  6.613646782690596e-06  2.298378328095908e-04  9.997767758139731e-01            4350.89                    1.00
    3320  55.3333    124691264715558  6.759527004728655e-06  2.365973598143195e-04  9.997701621671904e-01            4226.59                    1.00
    3321  55.3500    127421563623929  6.907536805128187e-06  2.435048966194477e-04  9.997634026401857e-01            4106.69                    1.00
    3322  55.3667    130191428037854  7.057691455881576e-06  2.505625880753292e-04  9.997564951033806e-01            3991.02                    1.00
    3323  55.3833    133001140544355  7.210006276061980e-06  2.577725943513912e-04  9.997494374119247e-01            3879.39                    1.00
    3324  55.4000    135850991927430  7.364497029101517e-06  2.651370913804927e-04  9.997422274056486e-01            3771.63                    1.00
    3325  55.4167    138741267265316  7.521179169122380e-06  2.726582705496151e-04  9.997348629086195e-01            3667.59                    1.00
    3326  55.4333    141672247752332  7.680067939699149e-06  2.803383384893143e-04  9.997273417294504e-01            3567.12                    1.00
    3327  55.4500    144644215138352  7.841178614523096e-06  2.881795171038373e-04  9.997196616615107e-01            3470.06                    1.00
    3328  55.4667    147657460570394  8.004526976705694e-06  2.961840440805430e-04  9.997118204828962e-01            3376.28                    1.00
    3329  55.4833    150712267747387  8.170128405596700e-06  3.043541724861397e-04  9.997038159559195e-01            3285.65                    1.00
    3330  55.5000    153808920293071  8.337998276469868e-06  3.126921707626096e-04  9.996956458275139e-01            3198.03                    1.00
    3331  55.5167    156947699903242  8.508151860084899e-06  3.212003226226945e-04  9.996873078292374e-01            3113.32                    1.00
    3332  55.5333    160128889179025  8.680604476279474e-06  3.298809270989740e-04  9.996787996773773e-01            3031.40                    1.00
    3333  55.5500    163352778989745  8.855371893111300e-06  3.387362989920853e-04  9.996701190729010e-01            2952.15                    1.00
    3334  55.5667    166619654589766  9.032469574250432e-06  3.477687685663357e-04  9.996612637010079e-01            2875.47                    1.00
    3335  55.5833    169929796867492  9.211912746687765e-06  3.569806813130235e-04  9.996522312314337e-01            2801.27                    1.00
    3336  55.6000    173283487574858  9.393716684226298e-06  3.663743979972498e-04  9.996430193186869e-01            2729.45                    1.00
    3337  55.6167    176681017961434  9.577897175536859e-06  3.759522951727866e-04  9.996336256020028e-01            2659.91                    1.00
    3338  55.6333    180122671872538  9.764469607904968e-06  3.857167647806916e-04  9.996240477048273e-01            2592.58                    1.00
    3339  55.6500    183608732733710  9.953449345859937e-06  3.956702141265515e-04  9.996142832352193e-01            2527.36                    1.00
    3340  55.6667    187139482217912  1.014485165892363e-05  4.058150657854752e-04  9.996043297858734e-01            2464.18                    1.00
    3341  55.6833    190715202939120  1.033869186763039e-05  4.161537576531056e-04  9.995941849342145e-01            2402.96                    1.00
    3342  55.7000    194336185853809  1.053498574476232e-05  4.266887433978679e-04  9.995838462423469e-01            2343.63                    1.00
    3343  55.7167    198002716394907  1.073374876366947e-05  4.374224921615374e-04  9.995733112566021e-01            2286.12                    1.00
    3344  55.7333    201715075140659  1.093499613452896e-05  4.483574882960663e-04  9.995625775078385e-01            2230.36                    1.00
    3345  55.7500    205473545142785  1.113874320160529e-05  4.594962314976716e-04  9.995516425117039e-01            2176.30                    1.00
    3346  55.7667    209278416488936  1.134500569058153e-05  4.708412371882531e-04  9.995405037685023e-01            2123.86                    1.00
    3347  55.7833    213129973107943  1.155379899327045e-05  4.823950361815236e-04  9.995291587628118e-01            2072.99                    1.00
    3348  55.8000    217028498257509  1.176513846510289e-05  4.941601746466265e-04  9.995176049638185e-01            2023.64                    1.00
    3349  55.8167    220974273588542  1.197903937440517e-05  5.061392140210317e-04  9.995058398253533e-01            1975.74                    1.00
    3350  55.8333    224967581726352  1.219551704232606e-05  5.183347310633577e-04  9.994938607859790e-01            1929.26                    1.00
    3351  55.8500    229008713752010  1.241458724840201e-05  5.307493183117597e-04  9.994816652689367e-01            1884.13                    1.00
    3352  55.8667    233097955208791  1.263626547196500e-05  5.433855837837247e-04  9.994692506816882e-01            1840.31                    1.00
    3353  55.8833    237235586394288  1.286056690797798e-05  5.562461506917026e-04  9.994566144162162e-01            1797.77                    1.00
    3354  55.9000    241421890369533  1.308750690121025e-05  5.693336575929129e-04  9.994437538493083e-01            1756.44                    1.00
    3355  55.9167    245657157349655  1.331710118425547e-05  5.826507587771684e-04  9.994306663424071e-01            1716.29                    1.00
    3356  55.9333    249941671355294  1.354936515390339e-05  5.962001239310719e-04  9.994173492412228e-01            1677.29                    1.00
    3357  55.9500    254275715471487  1.378431415622461e-05  6.099844380872964e-04  9.994037998760690e-01            1639.39                    1.00
    3358  55.9667    258659571326784  1.402196345833343e-05  6.240064015456298e-04  9.993900155619128e-01            1602.55                    1.00
    3359  55.9833    263093521557997  1.426232838200211e-05  6.382687299276320e-04  9.993759935984544e-01            1566.74                    1.00
    3360  56.0000    267577857512883  1.450542472122423e-05  6.527741546488562e-04  9.993617312700723e-01            1531.92                    1.00
    3361  56.0167    272112864422975  1.475126793843215e-05  6.675254225872883e-04  9.993472258453512e-01            1498.07                    1.00
    3362  56.0333    276698822722973  1.499987323602144e-05  6.825252958233098e-04  9.993324745774127e-01            1465.15                    1.00
    3363  56.0500    281336015351645  1.525125595213344e-05  6.977765517754433e-04  9.993174747041766e-01            1433.12                    1.00
    3364  56.0667    286024732638851  1.550543182558139e-05  7.132819836010246e-04  9.993022234482245e-01            1401.97                    1.00
    3365  56.0833    290765258711115  1.576241625889503e-05  7.290443998599196e-04  9.992867180163990e-01            1371.66                    1.00
    3366  56.1000    295557876472204  1.602222458831830e-05  7.450666244482379e-04  9.992709556001401e-01            1342.16                    1.00
    3367  56.1167    300402867527865  1.628487207972932e-05  7.613514965279672e-04  9.992549333755517e-01            1313.45                    1.00
    3368  56.1333    305300514528653  1.655037405564539e-05  7.779018705836127e-04  9.992386485034720e-01            1285.51                    1.00
    3369  56.1500    310251109090404  1.681874632459266e-05  7.947206169082054e-04  9.992220981294164e-01            1258.30                    1.00
    3370  56.1667    315254936133339  1.709000433212725e-05  8.118106212403326e-04  9.992052793830918e-01            1231.81                    1.00
    3371  56.1833    320312276223603  1.736416328777037e-05  8.291747845281029e-04  9.991881893787596e-01            1206.02                    1.00
    3372  56.2000    325423412183045  1.764123852332516e-05  8.468160230514281e-04  9.991708252154718e-01            1180.89                    1.00
    3373  56.2167    330588634453404  1.792124578366984e-05  8.647372688350979e-04  9.991531839769485e-01            1156.42                    1.00
    3374  56.2333    335808227271285  1.820420047730166e-05  8.829414693123996e-04  9.991352627311649e-01            1132.58                    1.00
    3375  56.2500    341082473355575  1.849011793044218e-05  9.014315872428418e-04  9.991170585306876e-01            1109.35                    1.00
    3376  56.2667    346411654287660  1.877901340764892e-05  9.202106006504907e-04  9.990985684127571e-01            1086.71                    1.00
    3377  56.2833    351796052769878  1.907090223424634e-05  9.392815028847370e-04  9.990797893993495e-01            1064.64                    1.00
    3378  56.3000    357235960581094  1.936580022759841e-05  9.586473031123354e-04  9.990607184971153e-01            1043.14                    1.00
    3379  56.3167    362731662435139  1.966372282207282e-05  9.783110259344082e-04  9.990413526968877e-01            1022.17                    1.00
    3380  56.3333    368283438992071  1.996468523228181e-05  9.982757111666901e-04  9.990216889740656e-01            1001.73                    1.00
    3381  56.3500    373891572959622  2.026870278384223e-05  1.018544413950532e-03  9.990017242888333e-01             981.79                    1.00
    3382  56.3667    379556354889213  2.057579122757819e-05  1.039120205178111e-03  9.989814555860494e-01             962.35                    1.00
    3383  56.3833    385278069132337  2.088596597821501e-05  1.060006171156325e-03  9.989608797948218e-01             943.39                    1.00
    3384  56.4000    391056998216867  2.119924235161936e-05  1.081205413507945e-03  9.989399938288437e-01             924.89                    1.00
    3385  56.4167    396893423702032  2.151563561114764e-05  1.102721049119093e-03  9.989187945864920e-01             906.85                    1.00
    3386  56.4333    402787628377593  2.183516108686352e-05  1.124556210205956e-03  9.988972789508809e-01             889.24                    1.00
    3387  56.4500    408739904081474  2.215783459933254e-05  1.146714044805288e-03  9.988754437897941e-01             872.06                    1.00
    3388  56.4667    414750535423634  2.248367157729151e-05  1.169197716382580e-03  9.988532859551947e-01             855.29                    1.00
    3389  56.4833    420819803124267  2.281268723861263e-05  1.192010403621193e-03  9.988308022836174e-01             838.92                    1.00
    3390  56.5000    426947989777262  2.314489690274132e-05  1.215155300523934e-03  9.988079895963788e-01             822.94                    1.00
    3391  56.5167    433135386042180  2.348031632636396e-05  1.238635616850298e-03  9.987848446994760e-01             807.34                    1.00
    3392  56.5333    439382277685833  2.381896100093047e-05  1.262454577851228e-03  9.987613643831497e-01             792.11                    1.00
    3393  56.5500    445688945777054  2.416084616321281e-05  1.286615424014441e-03  9.987375454221488e-01             777.23                    1.00
    3394  56.5667    452055671787889  2.450598707184117e-05  1.311121411086282e-03  9.987133845759856e-01             762.71                    1.00
    3395  56.5833    458482738627842  2.485439906337050e-05  1.335975810149653e-03  9.986888785889138e-01             748.52                    1.00
    3396  56.6000    464970438198198  2.520609796180116e-05  1.361181908111454e-03  9.986640241898503e-01             734.66                    1.00
    3397  56.6167    471519055000554  2.556109918999563e-05  1.386743007301450e-03  9.986388180918886e-01             721.11                    1.00
    3398  56.6333    478128869852573  2.591941797110993e-05  1.412662425272560e-03  9.986132569926985e-01             707.88                    1.00
    3399  56.6500    484800165164017  2.628106961460793e-05  1.438943494887168e-03  9.985873375747274e-01             694.95                    1.00
    3400  56.6667    491533231734763  2.664606988478255e-05  1.465589564771950e-03  9.985610565051128e-01             682.32                    1.00
    3401  56.6833    498328355459815  2.701443428003301e-05  1.492603999051983e-03  9.985344104352281e-01             669.97                    1.00
    3402  56.7000    505185817231601  2.738617802756834e-05  1.519990177079551e-03  9.985073960009481e-01             657.90                    1.00
    3403  56.7167    512105898447559  2.776131638197423e-05  1.547751493461526e-03  9.984800098229204e-01             646.10                    1.00
    3404  56.7333    519088882127668  2.813986468579448e-05  1.575891358147320e-03  9.984522485065385e-01             634.56                    1.00
    3405  56.7500    526135060242885  2.852183876680638e-05  1.604413196914127e-03  9.984241086418527e-01             623.28                    1.00
    3406  56.7667    533244717182551  2.890725404178701e-05  1.633320450955914e-03  9.983955868030858e-01             612.25                    1.00
    3407  56.7833    540418133862928  2.929612573923743e-05  1.662616576695151e-03  9.983666795490441e-01             601.46                    1.00
    3408  56.8000    547655592510808  2.968846915870271e-05  1.692305045853854e-03  9.983373834233048e-01             590.91                    1.00
    3409  56.8167    554957384062858  3.008430007189115e-05  1.722389345925745e-03  9.983076949541462e-01             580.59                    1.00
    3410  56.8333    562323794550172  3.048363398457945e-05  1.752872979910324e-03  9.982776106540743e-01             570.49                    1.00
    3411  56.8500    569755104676422  3.088648611374414e-05  1.783759466024069e-03  9.982471270200897e-01             560.61                    1.00
    3412  56.8667    577251595776906  3.129287171060229e-05  1.815052337734671e-03  9.982162405339760e-01             550.95                    1.00
    3413  56.8833    584813550972983  3.170280612319352e-05  1.846755143857864e-03  9.981849476622653e-01             541.49                    1.00
    3414  56.9000    592441262311419  3.211630518340475e-05  1.878871449041269e-03  9.981532448561421e-01             532.23                    1.00
    3415  56.9167    600135014065531  3.253338430172337e-05  1.911404833342992e-03  9.981211285509587e-01             523.18                    1.00
    3416  56.9333    607895087251217  3.295405871205174e-05  1.944358892055044e-03  9.980885951666570e-01             514.31                    1.00
    3417  56.9500    615721763913527  3.337834370408264e-05  1.977737235759127e-03  9.980556411079450e-01             505.63                    1.00
    3418  56.9667    623615335123015  3.380625505678244e-05  2.011543490815909e-03  9.980222627642409e-01             497.13                    1.00
    3419  56.9833    631576087051491  3.423780828355603e-05  2.045781299099465e-03  9.979884565091841e-01             488.81                    1.00
    3420  57.0000    639604300208067  3.467301859083285e-05  2.080454317690298e-03  9.979542187009005e-01             480.66                    1.00
    3421  57.0167    647700255907455  3.511190122871399e-05  2.115566218919012e-03  9.979195456823097e-01             472.69                    1.00
